id,category,question,answer,product
1,shipping,"How long does shipping take?","Standard shipping takes 5-7 business days. Express shipping takes 2-3 business days. Overnight shipping is available for orders placed before 2 PM and delivers next business day.",general
2,shipping,"Do you ship internationally?","Yes, we ship to over 50 countries worldwide. International shipping typically takes 10-15 business days. Additional customs fees may apply depending on your country.",general
3,shipping,"How can I track my order?","Once your order ships, you'll receive an email with a tracking number. You can track your package on our website under 'Order Status' or directly on the carrier's website (UPS, FedEx, or USPS).",general
4,shipping,"What if my package is lost or damaged?","If your package is lost or arrives damaged, please contact us within 48 hours. We'll file a claim with the carrier and either send a replacement or issue a full refund.",general
5,shipping,"Can I change my shipping address after ordering?","You can change your shipping address within 1 hour of placing your order by contacting our support team. After that, the order may have already been processed and shipped.",general
6,returns,"What is your return policy?","We offer a 30-day return policy for all unused items in original packaging. Simply initiate a return through your account or contact support. Refunds are processed within 5-7 business days after we receive the item.",general
7,returns,"How do I return an item?","To return an item: 1) Log into your account 2) Go to Order History 3) Select the item to return 4) Print the prepaid shipping label 5) Drop off at any UPS location. Refund will be processed once we receive the item.",general
8,returns,"Is return shipping free?","Return shipping is free for defective items or if we made an error. For other returns, a $5.99 shipping fee will be deducted from your refund. Premium members get free returns on all orders.",general
9,returns,"When will I get my refund?","Refunds are processed within 5-7 business days after we receive your return. It may take an additional 3-5 business days for the refund to appear on your credit card statement.",general
10,returns,"Can I exchange an item instead of returning?","Yes! You can exchange items for a different size or color. Select 'Exchange' instead of 'Return' when initiating the process. The new item ships free once we receive your original item.",general
11,payment,"What payment methods do you accept?","We accept Visa, Mastercard, American Express, Discover, PayPal, Apple Pay, Google Pay, and Shop Pay. We also offer Klarna and Afterpay for buy-now-pay-later options.",general
12,payment,"Is my payment information secure?","Absolutely. We use 256-bit SSL encryption and are PCI DSS compliant. We never store your full credit card number. All transactions are processed through secure, trusted payment gateways.",general
13,payment,"Why was my payment declined?","Payments can be declined due to: incorrect card details, insufficient funds, bank security blocks, or expired cards. Please verify your information or try a different payment method. Contact your bank if issues persist.",general
14,payment,"Do you offer payment plans?","Yes! We offer buy-now-pay-later through Klarna and Afterpay. Split your purchase into 4 interest-free payments. Select your preferred option at checkout. Available for orders $50-$1000.",general
15,payment,"Can I use multiple payment methods?","Currently, you can combine a gift card with one other payment method. We don't support splitting payment across multiple credit cards. For large orders, consider using PayPal or a payment plan.",general
16,account,"How do I create an account?","Click 'Sign Up' in the top right corner. Enter your email, create a password, and fill in your details. You can also sign up using Google or Facebook for faster registration.",general
17,account,"I forgot my password. How do I reset it?","Click 'Sign In' then 'Forgot Password'. Enter your email and we'll send a password reset link. The link expires in 24 hours. Check spam folder if you don't see the email.",general
18,account,"How do I update my account information?","Log into your account, go to 'Account Settings'. From there you can update your name, email, password, phone number, and communication preferences.",general
19,account,"How do I delete my account?","Go to Account Settings > Privacy > Delete Account. This action is permanent and will remove all your data, order history, and saved items. Allow 30 days for complete deletion.",general
20,account,"What are the benefits of creating an account?","Account benefits include: order tracking, faster checkout, saved addresses, wishlist, exclusive member discounts, early access to sales, and reward points on every purchase.",general
21,orders,"How do I place an order?","Browse products, add items to cart, proceed to checkout. Enter shipping address, select shipping method, add payment details, and confirm order. You'll receive a confirmation email immediately.",general
22,orders,"Can I modify my order after placing it?","You can modify your order within 1 hour of placing it. Contact our support team immediately. After 1 hour, orders enter processing and cannot be changed. You can refuse delivery and return instead.",general
23,orders,"How do I cancel my order?","Orders can be cancelled within 1 hour of placement through your account or by contacting support. After that, you'll need to wait for delivery and initiate a return.",general
24,orders,"Why is my order delayed?","Orders can be delayed due to: high demand periods, weather conditions, carrier delays, or payment verification. Check your email for updates. Contact support if your order is delayed more than 3 days past the estimated date.",general
25,orders,"Do you offer gift wrapping?","Yes! Add gift wrapping at checkout for $4.99 per item. Includes premium wrapping paper, ribbon, and a personalized message card. Gift receipts are included automatically.",general
26,products,"Are your products authentic?","100% of our products are authentic. We source directly from manufacturers and authorized distributors. Every item comes with authenticity guarantee. Report any concerns to our team.",general
27,products,"How do I find my size?","Each product page has a 'Size Guide' link with detailed measurements. We recommend measuring yourself and comparing to our charts. Still unsure? Our chat support can help you choose.",general
28,products,"Are products in stock?","Stock status is shown on each product page. 'In Stock' means ready to ship. 'Low Stock' means limited quantity. 'Pre-Order' means upcoming availability with estimated ship date.",general
29,products,"Do you price match?","Yes, we offer price matching within 14 days of purchase. If you find the identical item cheaper at a major retailer, we'll refund the difference. Submit a price match request through your account.",general
30,products,"How do I know if a product is on sale?","Sale items are marked with a red 'Sale' badge and show original price crossed out. Check our 'Sale' section for all discounted items. Sign up for emails to get notified about sales.",general
31,promo,"How do I apply a promo code?","Enter your promo code in the 'Promo Code' box at checkout and click 'Apply'. The discount will be reflected in your order total. Only one promo code can be used per order.",general
32,promo,"Why isn't my promo code working?","Common reasons: code expired, minimum purchase not met, code already used, items excluded from promotion, or case sensitivity. Check the promo terms or contact support for help.",general
33,promo,"Do you offer student or military discounts?","Yes! Students get 15% off with valid .edu email verification through Student Beans. Military personnel and veterans get 20% off with ID.me verification. Discounts apply to full-price items.",general
34,promo,"How do reward points work?","Earn 1 point per $1 spent. 100 points = $5 reward. Points appear in your account within 24 hours of delivery. Redeem points at checkout. Points expire after 12 months of account inactivity.",general
35,promo,"Can I combine multiple discounts?","Generally, only one promo code can be used per order. However, reward points can be combined with a promo code. Member discounts stack with sale prices. Gift cards are not discounts and can always be used.",general
36,tech_support,"The website isn't loading properly.","Try these steps: 1) Clear browser cache and cookies 2) Try a different browser 3) Disable browser extensions 4) Check your internet connection 5) Try incognito/private mode. Still having issues? Contact tech support.",general
37,tech_support,"The app keeps crashing.","Please try: 1) Force close and reopen the app 2) Check for app updates 3) Restart your device 4) Uninstall and reinstall the app 5) Ensure your OS is updated. Report persistent issues to our tech team.",general
38,tech_support,"I can't log into my account.","Verify your email and password are correct. Try resetting your password. Clear browser cookies. Check if caps lock is on. If using social login, ensure you're using the same method you signed up with.",general
39,tech_support,"The checkout page isn't working.","Try: 1) Refresh the page 2) Clear cache 3) Try different browser 4) Disable ad blockers 5) Check all required fields are filled. If payment fails repeatedly, try a different payment method.",general
40,tech_support,"Images aren't loading on the site.","This is usually a connection issue. Try: 1) Refresh the page 2) Check internet speed 3) Disable VPN if using one 4) Try a different browser 5) Clear cache. Our images require stable internet connection.",general
41,warranty,"What warranty do you offer?","Most products include a 1-year manufacturer warranty covering defects in materials and workmanship. Electronics have a 2-year warranty. Extended warranties are available for purchase at checkout.",general
42,warranty,"How do I file a warranty claim?","Contact our support team with your order number, product details, and description of the issue. Include photos if possible. We'll guide you through the warranty process and arrange repair or replacement.",general
43,warranty,"What does the warranty cover?","Warranty covers manufacturing defects, faulty materials, and workmanship issues under normal use. It does NOT cover: accidental damage, misuse, unauthorized modifications, or normal wear and tear.",general
44,warranty,"Can I extend my warranty?","Yes! Extended warranty plans are available at checkout or within 30 days of purchase. Plans range from 1-3 additional years. Visit your order page to add extended protection.",general
45,warranty,"My warranty claim was denied. What can I do?","If your claim was denied, you can: 1) Appeal with additional documentation 2) Request supervisor review 3) Check if issue is covered under consumer protection laws 4) Consider third-party repair options.",general
46,subscription,"How do I subscribe to receive products regularly?","On eligible product pages, select 'Subscribe & Save' instead of one-time purchase. Choose delivery frequency (weekly, monthly, etc.). Get 10-15% off subscription orders plus free shipping.",general
47,subscription,"How do I cancel my subscription?","Log into your account, go to 'Subscriptions', select the subscription to cancel, and click 'Cancel'. You can cancel anytime. Orders already processed will still be delivered.",general
48,subscription,"Can I pause my subscription?","Yes! Go to 'Subscriptions' in your account and select 'Pause'. Choose how long to pause (1-3 months). Your subscription resumes automatically after the pause period.",general
49,subscription,"How do I change my subscription frequency?","In your account under 'Subscriptions', click 'Edit' next to the subscription. You can change frequency, quantity, or delivery date. Changes apply to the next scheduled order.",general
50,subscription,"What discount do subscribers get?","Subscribers save 10-15% on every order depending on the product. Plus free shipping on all subscription deliveries. The more you subscribe, the more you save!",general
51,laptop,"What laptops do you recommend for students?","For students, we recommend the TechBook Air ($599) for everyday use, or TechBook Pro ($899) for demanding coursework. Both feature long battery life, lightweight design, and student discount available.",laptop
52,laptop,"How much RAM do I need?","8GB RAM is sufficient for everyday tasks and light multitasking. 16GB is recommended for programming, design work, or heavy multitasking. 32GB+ is for professional video editing or 3D rendering.",laptop
53,laptop,"What's the difference between SSD and HDD?","SSD (Solid State Drive) is faster, more reliable, and uses less power but costs more. HDD (Hard Disk Drive) offers more storage for less money but is slower. We recommend SSD for better performance.",laptop
54,laptop,"How long does laptop battery last?","Battery life varies by model and usage. Our TechBook Air lasts up to 12 hours for web browsing. Gaming laptops typically last 3-5 hours during gaming, longer for regular use. Check product specs for details.",laptop
55,laptop,"Do laptops come with warranty?","All laptops include a 2-year manufacturer warranty covering hardware defects. Accidental damage protection is available for $99/year. Business laptops include on-site repair service.",laptop
56,phone,"Which phone has the best camera?","The ProPhone 15 Pro has our best camera system with 48MP main sensor, 5x optical zoom, and advanced night mode. For budget options, the ProPhone 15 ($799) still has excellent 48MP camera.",phone
57,phone,"How do I transfer data to a new phone?","Use our EasyTransfer app available on both iOS and Android. Connect phones to same WiFi, open the app on both devices, and follow prompts. Transfers contacts, photos, apps, and settings in minutes.",phone
58,phone,"Is the phone waterproof?","Our ProPhone 15 series has IP68 rating - water resistant up to 6 meters for 30 minutes. However, water damage isn't covered by warranty. Avoid saltwater and high-pressure water.",phone
59,phone,"What 5G bands does it support?","ProPhone 15 supports all major 5G bands including sub-6GHz and mmWave. Compatible with all major US carriers (AT&T, Verizon, T-Mobile). Check carrier compatibility for international use.",phone
60,phone,"How long do software updates last?","ProPhone devices receive 5 years of software updates and 6 years of security updates from release date. This ensures your phone stays secure and gets new features for years.",phone
61,headphones,"Are the headphones noise-cancelling?","Our SoundPro Max and SoundPro headphones feature Active Noise Cancellation (ANC) that blocks up to 95% of ambient noise. SoundPro Lite has passive noise isolation only.",headphones
62,headphones,"How long does the battery last?","SoundPro Max: 30 hours with ANC, 40 hours without. SoundPro: 24 hours with ANC. SoundPro Earbuds: 6 hours per charge, 24 hours with case. All support fast charging - 10 min = 3 hours playback.",headphones
63,headphones,"Are they compatible with my device?","Our headphones use Bluetooth 5.3 and are compatible with any Bluetooth-enabled device including iPhone, Android, Windows, Mac, tablets, and gaming consoles. Multipoint connects to 2 devices simultaneously.",headphones
64,headphones,"Can I use them for phone calls?","Yes! All our headphones have built-in microphones optimized for calls. SoundPro Max has 4 microphones with AI noise reduction for crystal-clear voice calls even in noisy environments.",headphones
65,headphones,"Are replacement ear cushions available?","Yes, replacement ear cushions are available for $29.99. They're easy to snap on and off. We recommend replacing cushions every 12-18 months for optimal comfort and hygiene.",headphones
66,smartwatch,"What health features does the watch have?","Our SmartWatch Pro tracks: heart rate (24/7), blood oxygen, sleep stages, stress levels, ECG, temperature, steps, calories, and 100+ workout types. Health data syncs to our app and Apple Health/Google Fit.",smartwatch
67,smartwatch,"Is it waterproof?","SmartWatch Pro has 5ATM water resistance - safe for swimming, showering, and rain. Not recommended for diving, high-speed water sports, or sauna. Water lock mode prevents accidental touches when wet.",smartwatch
68,smartwatch,"How long does the battery last?","SmartWatch Pro lasts up to 7 days with typical use, or 14 days in battery saver mode. Always-on display reduces battery to 4-5 days. Charging takes about 2 hours from empty.",smartwatch
69,smartwatch,"Does it work with iPhone and Android?","Yes! SmartWatch Pro is compatible with both iOS (iPhone 8+) and Android (8.0+). Download our companion app from App Store or Google Play. Some features may vary by phone OS.",smartwatch
70,smartwatch,"Can I make calls from the watch?","The SmartWatch Pro LTE model ($449) can make calls independently with its own number. The standard model ($349) can answer calls when connected to your phone via Bluetooth.",smartwatch
71,tv,"What size TV should I get?","General rule: viewing distance รท 2 = ideal TV size. For 6 feet away, get 55-65 inch. For 8 feet, get 65-75 inch. For 10+ feet, consider 75-85 inch. Our TV size calculator helps you decide.",tv
72,tv,"What's the difference between OLED and LED?","OLED has perfect blacks, infinite contrast, and better viewing angles but costs more. LED/QLED is brighter, no burn-in risk, and better value. OLED is best for movies; LED for bright rooms and gaming.",tv
73,tv,"Does it support all streaming apps?","Our Smart TVs run on our TechOS platform with built-in Netflix, Disney+, HBO Max, Amazon Prime, YouTube, Apple TV+, and 5000+ other apps. New apps added regularly via automatic updates.",tv
74,tv,"How do I mount the TV?","We offer professional installation starting at $99 including wall mount. DIY wall mounts are available from $49. Ensure wall can support TV weight. VESA mount pattern listed in TV specs.",tv
75,tv,"What ports does it have?","Our 2024 TVs include: 4x HDMI 2.1 (supports 4K@120Hz for gaming), 2x USB, Ethernet, optical audio out, and 3.5mm audio jack. HDMI eARC supported for soundbar connection.",tv
76,gaming,"Is the gaming console in stock?","Check the product page for real-time stock status. Sign up for 'Notify Me' alerts to get instant notification when restocked. Premium members get early access to limited stock items.",gaming
77,gaming,"What games are included?","Our gaming consoles include a 30-day GamePass trial with 100+ games. Some bundles include specific games - check the bundle description. Games are digital downloads, no disc needed.",gaming
78,gaming,"Can I play with friends online?","Yes! Online multiplayer requires a subscription: GamePass Ultimate ($14.99/month) includes online play plus 100+ games. GamePass Core ($9.99/month) is online play only.",gaming
79,gaming,"Does it support 4K gaming?","Our ProGamer X supports native 4K gaming at up to 120fps on supported titles. ProGamer S supports up to 1440p at 120fps or 4K at 60fps. Both support HDR and Dolby Vision.",gaming
80,gaming,"How much storage does it have?","ProGamer X has 1TB internal SSD. ProGamer S has 512GB SSD. Both support expansion via proprietary expansion cards (1TB $149, 2TB $249) or external USB drives for older games.",gaming
81,smart_home,"Does it work with Alexa and Google Home?","Yes! Our smart home products are compatible with Amazon Alexa, Google Home, Apple HomeKit, and Samsung SmartThings. Control via voice or through our unified TechHome app.",smart_home
82,smart_home,"How do I set up the smart devices?","Download the TechHome app, create an account, and tap 'Add Device'. The app guides you through WiFi connection. Most devices set up in under 5 minutes. Video tutorials available in-app.",smart_home
83,smart_home,"Do smart devices need a hub?","Our newer devices (2023+) connect directly to WiFi - no hub needed. Older Zigbee devices require the TechHome Hub ($49). The hub also improves reliability and enables local control during internet outages.",smart_home
84,smart_home,"What's the range of the smart devices?","WiFi devices work anywhere with WiFi coverage. Zigbee/Z-Wave devices have 30-50 foot range but mesh together to extend coverage. For large homes, consider adding WiFi extenders or a mesh system.",smart_home
85,smart_home,"Can I create automated routines?","Yes! In the TechHome app, go to 'Automations' to create routines. Examples: lights on at sunset, thermostat adjusts when you leave, coffee maker starts when alarm goes off. Unlimited custom routines.",smart_home
86,fitness,"Is the fitness tracker waterproof?","FitBand Pro is water resistant to 50 meters - safe for swimming and showering. It automatically tracks swim laps and strokes. Rinse with fresh water after pool or ocean use.",fitness
87,fitness,"How accurate is the heart rate monitor?","Our optical heart rate sensor is 95%+ accurate during rest and moderate exercise. For intense workouts, accuracy is 90%+. For medical-grade accuracy, we recommend using a chest strap (sold separately).",fitness
88,fitness,"Does it track sleep?","Yes! FitBand Pro tracks sleep duration, sleep stages (light, deep, REM), sleep quality score, blood oxygen during sleep, and snoring detection. Get personalized sleep insights and recommendations.",fitness
89,fitness,"Can I reply to texts from the band?","FitBand Pro displays notifications and lets you reply with quick responses or voice-to-text. Full keyboard available on FitWatch models. Reply feature requires phone connection via Bluetooth.",fitness
90,fitness,"How do I sync with fitness apps?","FitBand syncs with Apple Health, Google Fit, Strava, MyFitnessPal, and 30+ other apps. Go to Settings > Connected Apps in our app to enable sync. Data syncs automatically in background.",fitness
91,camera,"Is this camera good for beginners?","The TechCam EOS M50 ($649) is perfect for beginners - easy auto modes, flip screen for selfies, great video, and room to grow. Includes guided tutorials built into the camera menu.",camera
92,camera,"What lenses are compatible?","TechCam cameras use TechMount lenses. Our lineup includes 20+ lenses from $149 to $2499. Kit lenses (18-55mm) are great starters. Adapters available for vintage lenses from other brands.",camera
93,camera,"How many photos can it store?","Depends on your memory card and image quality. With 64GB card: approximately 2,500 RAW photos or 12,000 JPEGs at highest quality. We recommend 128GB+ cards for video. Camera has dual card slots.",camera
94,camera,"Does it shoot 4K video?","Yes! TechCam M50 shoots 4K at 30fps. TechCam R5 shoots 8K at 30fps or 4K at 120fps for slow motion. All models have excellent autofocus for video with face/eye tracking.",camera
95,camera,"What accessories do I need?","Essential accessories: extra battery ($49), memory card (64GB+ recommended), camera bag ($39-99), lens cleaning kit ($15). For video: tripod, external mic, LED light panel.",camera
96,tablet,"Can it replace my laptop?","Our TechPad Pro with keyboard case handles most laptop tasks: documents, email, browsing, video calls, photo editing. For heavy programming, video editing, or gaming, a laptop is still recommended.",tablet
97,tablet,"Does it support stylus?","TechPad Pro and TechPad Air support TechPencil ($129) with pressure sensitivity, tilt detection, and palm rejection. Great for notes, art, and document markup. Magnetic attach and wireless charging.",tablet
98,tablet,"What's the screen size?","TechPad Pro: 12.9 inch. TechPad Air: 11 inch. TechPad Mini: 8.3 inch. TechPad Standard: 10.9 inch. All feature Liquid Retina display with True Tone and P3 wide color.",tablet
99,tablet,"How much storage should I get?","64GB for basic use (browsing, streaming, light apps). 256GB for photos, games, and offline content. 512GB+ for professional use, large app libraries, or storing videos/music offline.",tablet
100,tablet,"Does it have cellular option?","Yes, WiFi+Cellular models available for $150 more. Supports 5G and 4G LTE. Requires data plan from carrier (not included). GPS only works on cellular models. eSIM and physical SIM supported.",tablet
